Employee_ID,Employee_Name,Pay_Period_Date,Department,Designation,Gender,Cost_Center,Basic_Salary,HRA,Performance_Bonus,Total_Earnings,Provident_Fund,Professional_Tax,Income_Tax,Total_Deductions,Net_Pay
OPT0001,Laura Salazar,2025-07-01,Marketing,Manager,Male,46913810,64019,25607,7669,97295,7682,200,9729,17611,79684
OPT0002,George Cox,2025-07-01,Finance,Senior Analyst,Male,23756669,65531,26212,4184,95927,7863,200,9592,17655,78272
OPT0003,Christine Lopez,2025-07-01,Marketing,Associate,Male,89254563,79150,31660,5477,116287,9498,200,11628,21326,94961
OPT0004,Stephanie Hall,2025-07-01,Operations,Manager,Male,22575562,70982,28392,8736,108110,8517,200,10811,19528,88582
OPT0005,Aaron Ayala,2025-07-01,Finance,Senior Analyst,Male,85329037,50752,20300,4631,75683,6090,200,7568,13858,61825
OPT0006,Christopher Rodriguez,2025-07-01,Finance,Associate,Female,39587039,52990,21196,7414,81600,6358,200,8160,14718,66882
OPT0007,Philip Pacheco,2025-07-01,Operations,Associate,Female,10872248,60723,24289,6936,91948,7286,200,9194,16680,75268
OPT0008,Michael Bradley,2025-07-01,Finance,Executive,Female,47295260,42421,16968,7650,67039,5090,200,6703,11993,55046
OPT0009,Amanda Reyes,2025-07-01,Finance,Senior Analyst,Female,23718431,60803,24321,2346,87470,7296,200,8747,16243,71227
OPT0010,Mark Middleton DDS,2025-07-01,HR,Executive,Male,58181396,54605,21842,7036,83483,6552,200,8348,15100,68383
OPT0011,Dawn Fernandez,2025-07-01,IT,Associate,Female,15831819,49493,19797,7238,76528,5939,200,7652,13791,62737
OPT0012,Jeffrey Martinez,2025-07-01,Marketing,Executive,Male,60806024,35259,14103,2614,51976,4231,200,5197,9628,42348
OPT0013,Brian Cruz,2025-07-01,HR,Associate,Female,94374605,58121,23248,4976,86345,6974,200,8634,15808,70537
OPT0014,Brittany Cohen,2025-07-01,Sales,Analyst,Male,19335534,80645,32258,7565,120468,9677,200,12046,21923,98545
OPT0015,Alexander Keller,2025-07-01,HR,Senior Analyst,Female,20709497,33540,13416,3169,50125,4024,200,5012,9236,40889
OPT0016,Tiffany Alvarez,2025-07-01,Finance,Manager,Female,47308985,75939,30375,8400,114714,9112,200,11471,20783,93931
OPT0017,Kimberly Jones,2025-07-01,Operations,Analyst,Male,59684848,39772,15908,2550,58230,4772,200,5823,10795,47435
OPT0018,Melissa Gilbert,2025-07-01,IT,Senior Analyst,Female,96977837,73781,29512,5000,108293,8853,200,10829,19882,88411
OPT0019,Rachel Warner,2025-07-01,HR,Associate,Male,81691040,68674,27469,2265,98408,8240,200,9840,18280,80128
OPT0020,Matthew Freeman,2025-07-01,Marketing,Senior Analyst,Male,72043515,76003,30401,5685,112089,9120,200,11208,20528,91561
